900 115762
638 279 56415135
394 447 67568969
62 426 75192199
157 646 2302807
502 457 73325502
711 196 81534071
490 894 27485893
689 781 76761009
678 541 86480139
388 120 20841779
302 671 78786769
158 428 90542278
491 180 15243494
640 860 77205505
864 679 27503622
126 775 64230830
477 574 5978682
478 100 566698
171 120 64017210
396 539 65959316
657 772 4151465
870 111 90408002
560 241 52066536
521 158 8475700
863 810 89915665
394 788 33146167
567 145 34528147
686 854 89877879
244 614 67925031
670 338 30087170
326 386 39486613
479 317 50001011
876 326 11396280
258 871 31649080
695 442 46797718
608 407 23168367
652 816 4306416
747 33 59313260
101 669 26257289
679 201 13165539
496 148 58059825
205 627 22253525
399 176 18655705
47 654 17409639
60 108 8724893
22 671 28622495
710 58 68052755
421 797 83257123
542 822 87968721
884 861 59517850
227 674 49786135
30 93 74175159
218 713 41245426
781 158 26772423
101 293 2647408
410 551 24485200
223 831 16273831
170 148 82643716
650 635 67913511
761 814 51028602
236 575 69206209
510 671 64623726
550 827 5696499
293 16 56384044
491 407 67568837
203 661 28794224
501 405 23126199
281 281 26807170
630 818 58632373
684 329 25834075
893 790 39130554
746 155 48732201
754 158 36636635
223 196 4913998
16 883 87337709
684 28 57468465
306 242 36702400
596 630 18975912
673 124 85175029
833 394 49512922
651 788 3987015
107 773 15400368
395 686 17957546
260 728 87235808
874 20 59203295
840 887 896069
587 688 61322498
239 370 81921533
119 130 63752979
641 671 46187980
26 508 12643074
645 752 66076933
683 774 21744864
886 183 8501700
131 874 6708065
583 554 88863106
486 267 90860752
224 354 20938381
464 755 52731519
897 886 77305984
317 550 50496853
110 767 49012186
337 622 17739347
117 103 57930997
100 115 72881937
253 88 7688075
390 122 22582017
470 475 44014846
20 723 5610993
750 663 7285998
372 472 40240374
641 881 70984663
733 414 4809818
494 155 13346452
860 200 15884819
675 255 20462199
387 409 41877754
300 574 76756434
338 65 53427164
12 827 64195645
572 700 28435247
2 767 7801629
230 724 3848614
593 837 31357385
764 788 11752718
591 425 37151966
53 195 47574679
157 546 26653525
690 417 30150191
893 354 19434489
99 775 27065258
858 590 77411215
785 609 133172
692 256 48126314
62 148 6222336
893 502 10598217
851 281 54452766
891 718 73437870
96 422 8323517
352 226 2554504
110 878 70400639
685 430 47880367
272 55 5518979
454 583 1342221
487 101 74859698
677 107 73853872
653 182 14653691
231 224 48689190
93 461 9263595
596 644 77295999
397 764 27472688
54 68 87174326
817 500 89657006
134 511 53552429
714 573 4005693
285 673 73363285
864 393 21777410
280 150 31072212
763 739 57250309
736 173 64975340
543 786 38788363
383 316 76858311
891 253 9492249
260 296 72115081
741 54 22266176
294 15 9439448
443 525 75640678
881 232 4813149
883 343 55761782
646 730 56990628
443 277 68006521
591 130 67123044
685 572 6083155
717 612 11813621
461 588 55604302
460 619 38955590
18 735 6373062
645 95 65619128
399 521 30210886
107 607 84993284
707 619 48670782
521 397 3638522
128 326 34346458
213 702 60558547
43 414 54860944
888 377 79984295
431 294 26499191
350 535 38580931
518 652 7282018
242 145 64638582
105 554 11598007
600 95 42828373
40 837 81698467
177 20 74616107
139 674 66739010
358 873 89043672
709 25 22661811
437 105 63555682
337 392 59693385
538 532 1372951
823 163 64998184
334 86 71419066
806 507 85087349
66 610 79834774
301 376 66244681
153 389 54924594
745 60 17600390
201 689 89571094
881 632 33099984
410 28 30969489
402 696 47601493
471 341 74140476
414 768 61477272
878 736 41828028
444 455 53007825
328 92 61133958
289 720 42600007
281 369 75532375
265 820 11088708
616 703 57183742
244 489 74313767
501 767 36153044
565 483 50088734
820 194 86094849
365 19 63208149
140 71 15002992
540 94 53381090
229 788 87660537
374 591 46480389
360 661 4171077
671 130 6993161
303 682 51473833
339 701 2681480
102 395 3453914
474 103 33441653
502 723 10099005
193 219 29686006
97 371 77635136
647 639 7602965
692 310 73304856
416 799 75156287
111 605 85203140
637 576 36647578
204 49 37059746
897 315 309144
400 109 29400399
249 474 89867012
699 579 29538452
676 579 90562682
220 460 19863188
687 898 55242212
838 794 53716983
590 841 3393035
747 319 65282776
100 583 57785089
761 661 42686119
439 323 59378461
471 865 33229066
225 891 81140792
40 842 86853970
267 712 20232622
244 328 48223087
889 818 29004588
652 883 65091761
676 706 51140195
642 447 36201403
179 797 65513531
322 412 77383345
566 144 73406993
474 293 57618135
29 380 32905419
67 534 36299662
740 244 1782063
589 731 46636545
380 135 64845520
497 528 15126508
237 269 79592654
766 141 70426635
81 579 38687095
495 725 5711449
43 761 57107141
710 665 76329444
381 434 4745239
700 892 27953520
169 863 67906514
187 738 1699908
136 725 17986424
450 366 30865719
145 798 13530929
479 329 5226709
58 320 16638454
204 2 12097874
861 695 8297466
517 141 51511781
485 393 62754566
611 98 68139681
146 641 72556668
7 142 38814552
443 518 86531147
415 830 83881732
635 224 77965380
80 777 46819561
735 287 19274216
510 148 86846089
585 180 51798448
95 513 75346236
312 153 60076455
27 434 53272022
689 241 3943756
357 412 27268645
51 107 23677316
815 886 7479635
647 642 84249329
178 481 19348655
892 412 23555677
491 136 44216716
96 544 17828821
115 675 30476806
257 458 26981114
839 801 75579190
584 851 29014257
588 403 63063115
617 627 87496091
200 32 11166871
552 153 28371163
522 5 14464413
840 550 43213877
225 476 64169306
420 175 76710149
117 31 22953615
417 294 87392733
257 620 67728182
316 262 67692664
858 335 33623426
594 365 65517910
258 97 25429869
534 387 73566754
58 684 82205019
396 277 22180821
718 10 55769746
838 800 82060746
328 489 79476605
673 786 81474531
764 53 67235154
795 713 18050774
169 67 76276845
56 849 49950077
307 398 43245974
332 356 48045810
527 282 25508517
638 457 24868966
621 11 39219087
99 59 52671435
53 124 7383786
483 400 75936537
740 325 70638041
203 509 80201114
527 187 19673238
517 462 26305660
569 589 56045221
810 48 32133989
183 391 51311033
458 564 88268885
610 255 59248570
62 451 36323246
857 792 32268578
193 429 77118007
626 268 37601784
264 664 81856961
893 95 75068419
669 632 33744009
56 524 52183152
623 630 60052554
372 265 27976258
163 243 21141363
306 275 9501122
32 747 40832752
634 480 44815736
144 496 21643815
727 371 14264154
468 162 32563382
276 441 15621184
239 690 72860662
192 871 11365228
623 725 75211693
182 460 26883312
586 88 45341187
274 193 32277874
282 515 26828783
549 340 40395542
693 80 27589827
760 216 25619820
217 183 37965069
413 865 33056193
437 885 16479949
553 14 50455454
801 330 86465464
44 316 26205811
121 816 51759686
507 573 44061779
438 795 16197339
620 331 86664537
435 621 56249473
200 745 89006735
536 889 72809144
776 239 83139742
626 866 49075415
680 51 15648277
81 87 79504142
22 304 61393449
552 354 18068320
63 195 87338491
569 134 55169291
601 393 58796963
189 278 32847217
267 678 10376242
364 386 2805433
840 734 33385395
538 543 78771541
159 587 85751572
698 196 33388893
403 840 66219286
558 689 18113591
81 473 50214143
617 136 28697463
732 333 17773631
411 792 53853991
431 722 70919255
328 500 23113147
827 261 4312891
161 337 65465389
800 489 81145444
432 149 82482094
732 19 83187971
697 641 60855314
600 132 44869874
559 628 79393411
192 695 57772556
742 456 32299931
318 762 65814515
339 678 61547128
208 330 59504822
493 778 70138768
592 45 16372970
210 249 67294679
527 732 31799504
384 641 12508816
291 379 12831781
148 721 81342502
118 18 32681359
270 440 20994216
429 144 46603653
150 16 10200468
382 213 46952358
796 524 64836028
877 393 47736036
441 808 70777808
140 364 42160743
627 197 83784459
587 878 90542883
395 472 62760080
7 542 50843488
826 589 10259015
866 776 61899772
492 342 1721108
897 136 16935613
655 35 16939870
756 818 20277081
45 829 16521006
502 342 35262422
258 393 27176778
609 495 40450616
253 207 23553729
597 398 44816840
475 285 34164853
454 365 85753411
116 355 14388066
237 30 45955751
67 114 3769663
755 99 60828564
302 163 21389501
793 13 25355955
131 431 27485158
48 659 10494193
899 634 66597304
562 30 41454611
774 570 20868002
242 272 57099919
229 650 9823572
832 426 58843963
394 513 25996055
450 787 56703096
247 278 47317577
304 169 84193902
751 464 66269828
792 473 79275143
403 545 49907429
430 757 21146275
34 504 83848186
789 483 61902782
420 724 72984621
27 40 4982773
622 736 25232939
757 839 3587988
424 66 26278373
352 425 69487451
649 66 88212563
420 144 15997261
298 671 7806557
488 366 25487202
419 6 17445026
759 685 44369871
100 695 33696454
200 675 11577515
616 253 16311298
27 173 1588600
277 707 72987459
110 628 74515677
233 74 82707661
864 481 54425962
510 875 70417044
308 386 79992636
891 548 68873679
279 744 57229274
264 332 59375735
457 878 53228341
877 249 51108228
11 628 55441428
443 738 53798843
460 583 58880812
337 407 32206164
851 97 53769145
460 354 87242402
97 488 85149939
631 881 79603472
101 605 65493983
431 869 16584870
442 686 34846303
699 734 74175002
815 54 88002545
897 5 31939716
11 621 4323265
255 804 55393243
384 30 3998201
46 774 62942465
136 707 41321770
562 437 15951676
399 453 18952746
7 762 56125833
766 298 44916745
384 753 67076721
694 368 32808903
892 867 77791028
893 537 24479885
439 813 426821
252 718 67401426
793 383 7062315
351 422 29570873
148 640 64139875
259 775 37211859
468 774 27561828
638 473 31313471
669 285 13009603
484 351 55201259
888 374 33205433
856 450 8759650
765 425 79380533
177 718 36417793
783 37 75173649
470 146 62233254
526 744 90330406
770 34 86404989
372 754 18909224
847 150 7631134
51 29 35748399
690 606 65457933
117 275 63086324
385 285 31593508
632 60 24832427
215 131 71772689
157 583 89051522
491 317 74492175
632 246 29056872
669 82 55880192
849 325 68266101
839 130 64000088
805 840 45488295
93 388 51959078
447 26 61846625
529 693 54766296
538 854 33077923
591 319 33555925
649 133 77644026
301 532 47018042
789 397 54449155
895 183 59954069
613 861 31486546
35 899 68892963
219 772 3677438
530 845 47847192
899 184 17398250
773 600 42247776
290 341 33110393
493 268 62602594
584 610 69722425
139 818 58022627
448 400 39258067
792 851 48497921
600 355 35748355
518 546 52106311
610 514 15339619
24 77 47338920
672 439 24854354
337 380 69044662
780 130 31178834
312 6 35905635
724 493 4142600
505 257 46714978
674 531 51641441
439 368 38097295
489 610 72154530
447 113 18865876
6 78 76904401
499 630 34861486
463 326 34525251
892 734 28289485
690 47 70283983
14 617 51792307
162 270 2928237
363 591 17130080
757 285 61099706
236 531 29819564
852 506 58825998
202 297 63682188
194 724 14149443
681 673 49402445
744 780 27997581
764 184 35307162
26 489 73016245
875 652 16584060
236 661 39606562
675 114 1295707
137 450 90733563
225 492 1114111
463 578 19105411
363 137 686651
557 324 9170818
160 889 49894702
343 748 24862347
455 536 8236384
257 167 26627539
189 594 66522929
171 194 50545422
898 865 14312941
266 881 6496651
172 508 26446566
481 361 63154753
615 715 52043240
744 733 14807247
705 598 84722491
828 646 38200687
79 745 77525304
40 500 41000680
550 327 23202523
457 190 67353253
870 833 50245668
583 50 15665470
338 125 57579592
593 828 22685634
685 737 90815087
852 829 81781140
598 875 77168028
448 786 4428991
561 92 73353920
449 296 55929935
743 630 86081433
899 239 57153327
745 816 79444588
766 545 7652996
116 683 74144372
278 517 71986841
386 340 72521004
215 122 37467973
836 607 44461968
222 803 8989338
722 271 24548131
798 70 51648240
113 276 47477610
355 844 35983742
563 698 12213780
586 600 62463638
537 769 22291781
2 177 53741665
552 189 71319169
667 534 36604778
392 330 55867659
11 233 83265723
584 666 12040119
876 595 2893998
531 603 28487928
598 595 64035527
571 68 10537066
167 16 26503515
569 644 69270044
41 281 2526684
223 384 61421860
665 213 6160146
281 495 43041880
344 215 80007922
340 470 39497988
216 320 27053187
821 123 39286932
574 889 61509853
182 735 1119815
607 664 90753609
215 838 74893072
294 43 14201712
718 827 32694938
67 202 24196756
399 110 34792034
714 544 63136834
268 136 54438164
856 662 73643660
193 107 10469215
169 305 65621485
185 576 16024090
167 335 22561436
743 411 60932424
177 286 68893641
85 375 89474341
305 305 19010093
360 707 64616524
736 749 78105586
610 365 2800709
326 229 32982530
806 636 4403086
487 803 31851528
210 343 53334177
534 852 16284932
391 658 10530972
293 701 52757412
7 194 55472489
262 390 60067065
414 209 56091300
687 612 39286077
486 257 84819062
75 864 84015205
435 784 55633232
286 802 84353545
566 846 78625300
272 389 60048805
297 428 26853667
246 191 59322715
817 328 70714178
491 795 41278122
238 600 3238351
484 37 81429179
391 834 4010097
888 750 1188946
767 242 47901214
128 422 33638035
292 666 65801416
503 867 74139385
22 702 1148074
535 100 88793046
768 390 78757068
485 325 62277588
194 350 76256011
412 88 22953224
133 384 34139406
111 258 64078214
438 848 13167249
18 309 27602307
863 173 11262842
301 818 48315710
248 690 71088768
480 556 14428386
106 701 86997375
83 102 2688054
571 448 36657846
702 259 47583888
731 624 62566671
90 398 23078075
432 211 14811277
190 893 46780942
875 571 84154
54 706 65374942
476 643 31883422
731 243 67110163
397 686 39485605
729 427 17157767
719 897 6366331
339 40 58274816
334 223 72117536
354 151 28522612
273 152 17104497
865 451 52157649
364 360 83308505
141 507 64188160
407 351 53240000
43 290 41790412
885 784 16562403
809 183 35262430
714 492 44759421
4 428 53157674
352 654 33324697
252 801 76967238
854 398 59027826
805 776 1518355
83 796 59388957
460 783 12227733
96 419 48359853
427 443 26232683
281 284 75821217
548 29 75975424
343 897 14008926
575 137 6489485
645 828 79115546
190 332 1654093
522 308 32785295
796 823 8078491
312 833 33639600
438 123 34904750
771 161 72325081
367 273 8457260
194 387 23462250
813 281 45323596
92 540 20726384
25 408 74700027
224 337 28703054
74 76 24357264
69 542 89890919
134 8 66028520
502 7 17804127
679 442 72352163
846 179 8325154
138 270 51335223
553 382 20164899
552 274 1594853
405 180 40187438
51 310 48413804
661 345 23819859
29 891 47260836
141 300 26101259
421 41 14926843
55 702 31276342
831 151 62929373
755 410 89557723
208 755 77147169
72 320 71503743
195 804 90886613
12 780 10863408
808 462 55460709
743 50 63284517
800 18 75623207
164 285 60545234
795 192 65813787
749 781 75278918
764 34 32793957
647 414 16441049
180 491 14151007
300 401 52432447
227 887 82919116
571 660 79338241
113 279 47637678
879 284 41559590
653 471 60345461
371 660 67101506
293 590 74787489
550 584 25239962
136 518 55738953
580 328 50404016
122 542 64289932
387 356 14732647
515 737 11956913
851 104 43713600
803 406 60591983
122 399 12003132
762 275 89101664
392 437 14442542
113 468 8444830
727 402 54359212
119 451 6924421
871 242 46245789
138 35 81409718
307 301 52129348
619 59 51150535
529 54 34105658
528 373 20741858
702 602 70158225
144 253 23588081
207 67 90287773
9 189 78802441
33 139 76755524
809 168 50225832
881 244 78762008
877 694 17994764
780 7 84756842
885 35 51472461
688 227 51169133
629 641 43576712
448 653 54812821
241 520 70643994
424 15 45725896
285 665 66903391
441 574 24492345
561 330 21079066
361 222 34917558
50 65 63498479
245 114 12504045
538 650 23761862
580 570 69721780
876 364 40359386
150 455 45746707
453 264 82283643
370 463 18632794
823 671 38591671
647 135 38676298
414 30 32055661
647 274 25884907
865 749 73821027
482 649 3946603
297 751 57464498
8 711 45784455
830 518 50119222
514 680 88627645
171 712 8030911
609 83 9567687
817 302 65854682
806 797 73214939
684 834 2859573
234 137 56537937
165 574 87245650
679 228 71747690
326 177 66821201
620 380 6343874
504 774 51775232
136 663 28004659
432 81 68910133
148 863 6069018
177 675 34173512
300 496 18944903
26 683 9635419
478 234 16966329
622 534 19921651
782 554 22094708
363 592 17190122
494 466 54040624
421 753 54181576
239 316 2994249
353 312 6015851
566 657 65059308
355 364 24152133
820 11 19429950
798 375 85695188
65 521 28618843
247 177 19408162
404 371 55530592
201 247 51051078
572 332 34534320
470 822 69658436
260 50 64673059
212 115 13613450
88 706 88712855
737 609 42568863
773 174 61733262
283 308 46836164
49 852 63252148
532 242 12693501
292 386 32476630
255 458 51704114
407 586 55884340
276 631 78145161
588 325 89386884
247 239 38577757
132 821 70629551
313 194 30023203
115 268 73842065
233 566 63557770
411 624 41699526
892 282 66438281
469 351 82899303
401 529 59915221
113 2 46040727
29 885 53844626
401 692 50362586
347 106 62718161
491 113 23228302
397 758 59688313
794 413 17764513
68 36 86920883
260 264 36909250
448 295 84547232
7 861 12278258
209 70 29601834
739 485 34137517
326 479 18120347
317 474 54030482
654 510 83485144
598 747 49909722
749 865 72952989
796 48 33365839
447 46 18847885
55 84 12792673
316 174 88103962
293 708 88261402
821 346 84693878
638 418 14528131
341 89 86401930
264 480 7425997
704 39 60495258
176 189 54196416
179 733 49265320
330 524 66104767
897 412 32744337
108 878 88671813
488 269 26602562
792 694 9561251
621 319 13000035
749 128 48592957
271 306 31955207
69 849 48294790
348 396 39999127
97 887 42105376
685 796 81975499
290 662 83244706
498 12 21585438
750 95 58096800
143 500 21594752
625 205 38228776
384 866 40969515
640 884 39961970
146 474 21304197
865 516 1291314
215 753 9133626
51 716 2064593
769 503 77279280
754 553 71217403
546 563 16584756
213 602 77062295
53 603 58077920
130 127 41559287
811 810 39387162
301 224 81486600
667 159 66087191
656 588 19805333
750 509 4262856
132 108 61869818
91 147 47399282
442 764 23822254
240 647 85444460
331 562 83250392
418 325 77181813
776 436 5106159
524 190 70110415
854 779 69153866
20 339 18985456
146 350 29160069
464 160 32321418
777 759 72774086
333 271 86223154
193 518 43551705
60 701 70794373
326 531 76359402
127 741 71394417
514 62 67646570
736 522 6953199
856 139 40073778
802 679 75195948
328 453 87338937
149 330 27383109
700 160 54469468
550 459 59723693
260 28 78465269
627 619 12811087
371 133 69057618
551 508 57744000
619 531 87048178
128 89 30182747
585 549 75872734
299 12 58373758
458 808 13711199
575 529 62740196
766 202 11527912
77 30 56534429
732 889 64521689
573 395 41815705
468 135 66825297
91 740 16407961
415 277 16262426
98 119 90689625
126 38 17643847
500 285 89166227
826 530 45433089
91 394 52910756
673 181 64947485
485 843 80972452
767 844 89385238
5 81 67718624
405 636 35679870
175 25 44675668
46 423 27232360
364 576 4420410
44 724 55942420
331 337 17089205
671 472 39421001
40 416 45830039
201 801 3448393
392 818 51121870
50 428 55347272
398 652 76585774
506 676 9711797
263 847 25753087
457 286 65355011
878 78 57420317
530 357 12356466
721 865 68025692
792 452 35964373
2 462 63263602
650 729 54831526
470 16 14270280
608 274 51360407
529 69 18952146
814 211 36922371
599 833 34100833
488 200 16272955
607 30 43699636
808 138 16688744
396 659 39528759
369 27 53696432
567 311 31337367
359 664 61995588
617 154 71102525
640 776 82852298
183 132 23107695
492 115 33050595
64 726 60394574
898 442 24764727
61 458 68539118
412 219 71330350
41 788 51039124
706 156 41854134
156 337 10486887
431 166 61988323
160 109 48783205
846 139 72058904
22 577 25107941
862 690 11301320
437 755 85964732
665 795 9883723
439 411 23666765
104 61 57002691
558 654 65489107
173 889 82425403
724 885 90573045
847 202 74292602
82 67 62537812
278 513 45325681
388 364 12177637
292 801 55328081
159 790 11897740
60 237 3482617
661 96 55749308
529 170 79195838
676 757 48834230
899 68 13422291
31 683 80238939
221 361 73284122
398 882 40450968
725 863 39676304
394 76 28086869
680 176 49178703
643 628 54439236
278 142 11182364
83 828 86942216
213 282 90245578
333 65 35496862
266 474 13309468
247 51 53385274
834 405 80876603
326 212 14833457
70 835 39982411
225 259 90057880
343 588 64009235
162 111 58530670
503 123 71518606
667 243 80729151
721 781 53693190
330 109 60388794
36 265 3510542
665 677 80488294
536 838 22324904
186 356 86752980
671 526 19446532
204 735 62498743
836 879 84441229
3 471 47392849
731 262 6604439
267 480 42417324
691 885 7301785
533 488 39003977
237 814 42984329
588 223 53820874
360 880 52751422
817 666 79615052
807 282 17166581
667 862 15980638
284 353 56295600
231 767 25419527
728 852 42242637
384 12 84453708
259 227 75022460
787 498 55055901
212 422 9278873
444 310 63438233
391 849 79293868
599 518 32880651
157 756 68250192
556 268 63389482
187 721 19034705
195 500 71650165
559 742 63717204
199 276 78752761
305 482 83637925
786 612 78416781
306 361 6282175
87 145 63801114
875 534 9732553
39 283 82012335
731 126 14042591
868 348 71799166
812 696 38978367
116 260 11618249
390 84 83938226
822 645 11115956
496 601 83000305
891 463 75511060
304 485 41764819
499 691 78376264
63 806 41679819
197 501 65034786
557 256 45536365
661 74 87446413
105 832 337759
405 480 8315245
283 28 9108135
623 115 67995140
263 461 16953243
876 704 13858144
316 731 68073819
632 659 86087917
678 104 81454399
387 666 88177558
518 455 56640152
825 418 64134813
146 704 29019490
459 50 67169930
850 811 73720615
855 125 29777123
179 20 24639600
559 642 41773557
799 865 2278893
569 635 51837851
15 157 25334084
188 804 81833684
675 784 26571986
689 530 51864059
793 150 24551500
507 210 58250288
854 3 26476760
819 782 52829956
382 702 41559187
460 244 87541596
272 339 77631009
531 208 2562763
263 587 86200943
387 236 64494925
733 616 56739931
215 239 17987684
68 139 55692518
230 32 88241643
55 640 61556917
229 733 39078950
805 442 47877906
669 671 90575843
270 277 83873128
888 150 27011198
435 801 47563293
284 663 80375799
179 119 19495171
203 507 82051876
588 252 54588860
255 259 5074225
245 846 71183452
199 484 34735689
354 632 79517883
56 877 2695056
177 643 15280450
449 861 42630174
618 557 85703387
42 696 22385400
236 207 8625463
592 831 81254619
890 716 59023928
223 574 62995779
186 305 17840743
618 851 46358158
657 872 22631323
214 818 52867548
93 691 10186111
387 317 14408796
525 184 77800768
869 427 25376785
51 356 11111492
459 234 11417294
637 462 90722740
635 178 67216065
523 467 80282765
839 829 50761102
462 425 16424406
157 342 46656927
728 445 2479393
16 124 21541529
52 403 40501704
588 627 31421184
258 386 14842320
125 879 70480359
681 858 87146322
300 545 30268579
895 436 52197042
396 835 81768525
424 766 15043113
610 464 47949553
339 529 41084906
305 419 62098962
570 673 3970516
895 883 70991889
782 429 10787418
597 718 90595836
760 376 25980139
865 355 85878664
417 716 72506729
363 250 49766108
734 867 78256142
659 520 49603717
504 267 35190472
345 249 75514189
849 737 8462816
609 7 66162900
796 459 24736848
63 526 39713397
172 715 29218113
427 200 32584793
753 50 59025944
801 8 90700560
358 140 36442454
758 113 24766881
472 181 5269777
888 161 12645979
557 187 75289410
498 32 55835195
754 568 50292732
321 419 36857185
259 306 4152237
343 711 64189334
218 390 56787972
7 722 9834389
755 728 29108021
143 622 49924195
521 803 90697610
244 95 6729677
60 519 64268718
313 263 29861189
765 8 57267529
12 477 71115845
28 761 39413946
219 64 47401859
393 504 87176017
572 110 543728
753 522 3193958
580 92 55172802
737 745 36826059
675 34 14325329
800 187 41071352
398 413 48017727
199 466 62813457
731 498 89826409
283 812 7406171
656 329 35460860
379 846 61391917
492 29 50050218
457 358 6823907
475 793 3084789
265 506 46122100
134 646 56990278
233 628 31913335
632 853 64477633
270 434 25395575
94 615 56092690
193 701 13482619
368 376 23496341
458 616 37188963
16 66 32627073
68 440 3145363
818 501 35206850
214 358 30647247
686 574 75544088
499 725 3470527
151 586 17322729
542 275 56365918
463 750 21068733
151 638 8872135
296 182 42753653
591 302 40721001
264 24 48475162
619 262 5463779
345 340 35641794
58 792 13497588
185 254 11153504
418 70 54656805
702 541 79106106
334 189 73201714
747 4 21692092
702 540 73514169
633 408 56574683
400 763 5379225
763 391 30873113
733 789 41891761
722 184 3950132
586 8 25760540
349 878 87726685
655 258 32946828
5 352 15773930
302 235 24219281
297 260 3902586
340 779 75864236
402 281 68976827
659 279 37190863
608 222 45047429
6 384 86970367
779 647 11180231
540 53 46976681
883 165 1094893
800 48 45268031
691 663 47414413
402 733 41231160
569 805 82568200
768 148 84956019
228 825 89249181
189 421 26960257
584 566 27930977
872 463 73301772
781 758 83568626
485 3 6736964
552 833 19026921
555 312 66781695
500 646 80168618
792 426 58346976
285 111 23236576
181 485 28850085
244 131 88470519
470 201 56839617
628 664 43378417
101 244 52566248
355 555 21919830
540 385 58108412
230 560 22913102
537 361 43783172
360 576 9360513
449 322 77562891
215 397 32366257
434 210 34879473
