50 1202
35 37 1136493
17 24 3113831
21 3 2909761
39 46 3981233
23 9 1743300
19 38 4426725
4 28 199455
12 37 1422431
40 23 4659582
7 50 1912255
30 21 305876
1 34 2703399
12 14 1175766
16 6 3823934
16 17 4159867
2 47 157039
20 4 3830339
30 33 445803
21 14 2242477
18 29 2048419
15 35 3312382
30 45 3386703
31 30 642689
1 49 2537129
41 32 3605890
48 28 3418098
33 27 567506
50 14 4137133
32 19 3281350
18 34 1597855
25 15 4005560
12 36 2779541
40 19 1314052
15 26 3114718
15 23 1017292
10 35 4673741
46 49 4689973
44 12 2138872
5 40 649960
49 30 810748
22 20 193298
49 25 1622774
12 21 2211748
33 12 681227
19 5 3535571
35 17 4548833
28 5 3113625
36 15 157668
26 30 4747698
15 21 1485762
50 15 3007329
21 41 1572975
20 48 220584
18 31 4051874
14 48 878867
37 30 1115158
9 14 4565806
43 24 4630154
42 47 4818826
44 5 816258
45 35 3651388
35 23 2426307
38 18 1388126
8 37 4159834
17 21 893453
11 37 4792662
9 28 2882857
25 15 983114
22 20 3506712
20 6 1624588
18 21 848707
41 23 2234745
19 3 353302
8 1 4158190
11 49 981509
30 31 1518416
34 15 103554
22 4 1094918
2 42 2232136
39 1 4079033
4 15 3342675
50 18 1186395
31 49 803493
43 3 1499741
15 5 3520963
37 17 2316663
33 14 4566646
20 45 22628
27 49 2588363
50 38 843555
43 22 1802131
46 40 2160119
30 5 3013988
27 42 4115816
22 21 4335638
2 9 516608
47 34 2374598
20 12 3729935
18 28 520214
33 47 1004648
41 49 942379
6 11 4675746
47 27 2552622
30 25 2072663
23 45 3026124
24 21 2864616
4 40 759606
26 2 855863
23 38 515874
14 22 2030123
4 47 100552
21 22 2920880
37 26 835493
8 13 225140
31 2 2012859
39 43 4944107
33 36 3565647
47 42 4422541
41 44 1982058
45 38 560467
48 45 2801817
13 30 473021
6 27 4689901
23 40 1155982
5 46 4084668
43 46 2279886
5 24 1917214
7 5 1702983
3 45 2869296
49 22 4489993
19 38 4281684
20 34 4866407
44 33 2186671
9 36 608376
33 8 4320298
31 1 2903190
37 21 2622194
27 10 4591074
1 13 4922937
2 10 4095422
29 21 3058610
9 42 3194833
1 33 1549208
45 2 1226247
35 8 2106472
11 3 963663
42 25 88866
16 44 1067355
37 29 2261196
45 7 1450467
7 45 178095
48 18 3608034
21 46 1546392
31 39 2335832
48 28 287896
11 14 1361094
19 11 4136005
37 45 648565
25 26 515447
2 6 2919279
22 47 3603468
6 32 986116
22 45 1991588
9 48 1443015
38 7 3928677
23 43 963471
42 11 1626104
10 42 672375
49 34 862538
42 15 4586525
34 34 3696140
39 1 1063270
16 44 1542708
28 37 894009
39 17 4150330
25 14 2328768
5 44 2412188
23 25 2466218
49 42 2534298
49 34 4585964
48 27 3953402
20 9 4283323
18 34 2720581
46 1 1145427
15 1 3188552
35 16 1445619
15 48 3509396
16 1 4905695
16 12 784319
35 46 2212509
7 43 3076449
38 11 2108856
29 3 1096280
44 2 1733441
45 16 340100
4 35 2995784
22 4 690059
25 44 197927
19 1 1787542
43 26 4006712
50 24 1766803
44 49 775514
14 37 1573041
8 16 780848
28 20 4269159
43 18 3106657
50 34 1949549
12 14 4010905
29 18 2149312
5 2 1737095
50 17 20515
11 26 1271069
7 14 1022489
43 39 4964692
15 4 1082028
33 5 118181
35 29 4371049
2 28 3423568
38 26 3133922
17 14 105945
50 35 856746
14 41 4077830
29 10 284252
32 21 3150242
5 16 1727765
47 17 437054
21 15 4259381
36 38 349866
46 13 4911203
27 26 1057920
26 23 102214
7 40 4427738
5 29 2570764
34 19 803735
6 21 1155750
19 43 3463514
2 18 296778
37 36 368267
31 7 1967344
45 37 3428948
26 39 1683862
47 33 3197220
30 23 2276988
23 11 3546032
45 10 3039785
15 14 923309
1 33 4153316
30 25 2974168
43 35 252731
46 31 796526
23 35 1309440
42 18 3957876
18 49 2845382
5 3 3675568
33 11 385321
8 39 2444845
49 31 2754435
40 33 1211324
36 25 2845816
9 45 3234926
43 5 1360043
20 5 4793498
46 15 3976518
25 28 2622173
17 8 3364087
1 28 1061525
1 34 29613
16 45 3465254
3 27 4112671
38 50 247413
11 5 3766661
49 29 2453679
30 41 2394781
23 23 3992131
22 45 2915815
6 36 570212
9 48 3068202
7 16 631304
23 1 3451181
21 38 4125227
34 18 3501694
50 12 2987405
1 47 53807
31 32 675056
14 27 4942995
37 10 2659099
16 29 4984710
48 40 4066137
18 17 2199203
18 9 3243259
34 44 4731019
42 32 1527314
43 44 3820260
7 7 1335734
13 33 4412888
10 27 2339330
9 49 2587410
12 3 2183317
32 26 4247301
20 50 1823826
32 15 1194724
25 37 2877921
25 7 818795
24 43 3202540
2 3 1503189
32 37 131299
39 6 4998947
15 5 3257336
34 35 3229468
13 35 4267172
34 1 4166535
12 27 3905248
46 41 1076850
32 39 1272877
16 41 500079
27 7 3766860
16 44 2562578
29 1 3365767
31 22 3258676
31 35 4623974
25 11 4227123
6 1 2450363
48 17 2747567
15 40 4044631
45 40 79311
17 7 4544018
28 38 717690
11 8 2044231
32 28 2823775
2 42 65621
2 10 236461
25 45 419807
6 41 3191131
10 16 1266829
25 22 3987489
39 24 3188809
4 21 2541501
45 20 198787
39 21 2049072
45 15 69294
1 10 4047550
41 8 3668736
12 11 59122
8 33 4429366
40 43 3417303
25 39 4408909
27 23 3753344
13 26 29258
45 17 1270209
46 4 3774580
17 25 3834355
38 37 3759316
25 48 4385588
44 2 695612
13 36 136101
19 22 175613
37 30 1113066
38 24 3247279
33 44 928174
15 12 4011245
48 34 81372
26 1 399574
42 39 3797607
47 10 2093070
18 31 3809923
48 48 1863994
18 45 3726185
40 45 1077960
27 8 883223
47 6 3061925
43 21 1566414
17 36 2352068
19 13 146706
4 1 3061534
43 49 3342702
31 33 476396
17 1 70253
31 41 3845359
49 40 939426
20 28 4950889
41 43 4921249
27 32 2234977
15 24 4011843
30 19 4807203
27 15 236966
39 28 810558
44 21 4991595
48 37 4160516
17 26 2839415
10 47 211533
29 9 2132274
29 42 977204
38 28 318219
3 31 4245272
45 6 1726897
15 14 1683997
21 32 2840091
23 16 4477609
16 29 4617666
30 50 940071
45 20 3703010
37 39 521671
7 9 2482877
30 15 4036540
46 1 650455
26 8 3371901
22 40 1088379
45 41 3386244
32 47 543092
7 16 4482322
3 40 4094421
14 16 3693609
29 33 2948594
47 13 3709008
44 14 359397
17 36 4787155
24 23 1024330
7 4 3505345
44 11 1269506
41 22 1197740
12 44 368308
36 44 4208684
43 4 732040
38 1 454492
28 5 3921130
8 14 3554460
26 18 1159565
16 47 1154701
32 28 3194789
42 23 3133400
18 43 203308
24 50 3772136
49 8 539166
24 28 4862507
44 24 3641404
7 1 2684437
44 12 38413
31 34 3754012
40 33 3993561
9 35 2876541
28 35 4165356
19 10 3698358
3 37 699609
37 28 984778
41 10 3368052
1 40 74560
16 19 3603351
33 27 4804516
45 14 4070046
17 11 1041925
42 2 3460971
32 2 2532341
2 5 4269538
8 32 3498252
8 30 2828846
39 31 4852262
13 11 1202811
22 14 1389856
48 4 4847545
43 11 4060895
18 6 4937184
40 18 485833
29 38 3961254
41 49 1946697
11 44 3281674
11 20 2847951
45 11 521613
27 45 4287246
24 21 2046068
34 36 1159869
48 13 3420424
27 4 1421143
40 42 4754453
38 44 3512667
18 32 4538286
20 40 1682124
42 40 1000807
4 49 4508593
5 46 157530
41 48 4816662
47 26 3801635
40 20 3378122
44 42 2603684
46 14 441695
31 10 243202
16 27 2480494
20 34 4234661
1 3 3092112
18 3 3095164
24 4 1495141
38 31 2562807
40 9 2625425
2 14 842955
14 50 4405818
30 13 4812978
1 34 126988
10 33 1930920
9 10 1126645
47 31 4802671
43 33 3952425
39 13 1665804
44 9 1259167
23 12 487176
38 34 6481
30 50 2303855
26 42 4524672
40 17 328788
7 43 698735
37 27 4100939
39 19 2145379
30 11 1307886
26 13 253417
21 18 3024281
41 35 3087888
18 8 1041006
39 49 3833066
40 42 4299218
37 28 1560720
22 16 1842670
45 3 4641051
32 21 852463
39 9 4817260
11 22 4954950
45 37 1154596
49 35 1677928
26 48 1784749
43 25 1527375
15 31 28399
44 17 4454903
14 4 2437083
50 30 4388770
6 26 865828
32 43 3701141
8 32 2752385
48 28 1887449
8 49 2865069
50 45 2359226
39 29 1628199
12 42 253899
16 48 3437106
9 46 4399393
45 4 1253270
3 47 3457427
41 31 788381
18 11 2904129
26 23 1313879
7 10 3059338
2 49 3584279
29 44 3287124
34 12 2162931
12 50 1849735
48 24 393927
11 46 1581138
26 46 4436147
42 12 19941
39 21 2242905
16 49 2568694
43 15 220320
13 11 3675708
37 21 1338356
6 49 2580663
16 30 4631107
43 38 4966502
25 50 3884545
29 1 85327
1 46 3897829
24 40 4817658
36 46 3647530
11 38 1524982
22 12 4104719
40 32 3304275
28 6 1227927
22 42 1779175
19 25 2323594
20 16 4366026
3 47 2090162
15 32 2993753
42 14 2178655
3 17 4838710
41 36 2818980
27 23 883718
44 14 2364823
25 43 2729074
35 3 2626389
13 11 4059175
38 12 293499
28 20 2765846
38 2 2660206
45 35 1379124
41 8 2651924
14 38 1937211
8 46 1575897
4 9 1590824
36 19 2271083
24 10 3549627
3 34 1751487
28 28 3178682
24 9 1474442
42 12 2539501
39 40 156104
3 36 2956643
1 26 1823352
23 5 331884
28 9 1703453
1 50 155422
8 2 4434175
22 27 2974929
35 34 4911272
39 48 2336418
9 35 4050088
16 7 47987
43 5 2153938
22 15 1548777
37 27 2523324
41 1 3256493
29 17 952195
11 27 3313196
48 28 4981829
16 9 359639
38 36 2123044
18 49 791012
39 42 2318346
31 35 3376715
47 39 1175456
29 5 1460553
22 38 938261
20 7 648352
37 3 2922269
18 28 2802325
7 13 2659119
7 18 362865
2 44 4745990
28 36 1068737
28 21 4143010
13 22 355223
13 29 4198852
2 13 3430342
3 10 4314997
14 48 4301417
14 21 1232191
41 6 3594781
28 46 3639730
39 43 351426
6 16 4876193
13 4 2185278
44 28 4751203
17 46 3979130
42 10 2014546
15 32 1241635
13 15 4085135
25 48 3623914
16 18 330748
30 36 2418565
49 12 4345472
25 41 1208491
3 18 4532807
27 2 953564
4 40 3185344
2 42 3874775
10 8 2251037
38 28 4946466
44 49 4120342
4 7 4283974
21 23 4829542
47 11 2671760
30 44 1308620
41 13 379090
24 3 4359628
30 38 3935135
43 47 3636460
43 22 258194
19 49 3765943
8 27 4570824
22 38 2809981
29 32 522785
35 27 2830225
1 33 1291331
17 29 3832202
49 25 2586455
14 39 4831490
41 15 2023178
6 2 1519578
4 33 931918
15 34 1185140
12 36 2796054
28 47 4550328
3 27 1353629
40 26 23440
19 26 3955296
21 46 3204587
13 21 4701215
44 25 4570301
9 49 3425888
36 25 2578302
22 4 2902508
5 18 2894631
25 10 1992912
7 43 4824504
41 41 616286
46 24 472437
11 18 4893609
45 36 1659748
6 29 57100
18 43 2485136
33 36 2591460
34 11 2765833
17 33 2882129
48 39 763746
43 18 260666
19 15 2725234
48 25 3767494
26 16 1519572
38 28 2328995
19 45 4266982
18 44 4162498
2 45 2907022
49 6 3650713
12 38 388912
37 10 1241696
45 9 25657
21 35 4264725
38 39 2873752
33 16 2766200
35 39 1311359
48 16 4704463
1 15 439910
20 36 2437603
10 39 1555721
33 25 986433
16 39 1477861
8 11 4886587
7 27 2717503
10 42 3803428
16 13 2856861
38 2 43096
25 12 4005194
47 9 995761
14 22 4521622
38 38 4507283
10 33 2663252
33 9 3277281
11 20 2358555
4 39 4329669
31 42 2667206
45 50 1306028
2 34 3607540
8 10 4066376
1 25 4404424
7 28 1731980
20 38 1908777
47 17 1214068
16 24 1163140
16 24 1002810
20 44 1835141
49 30 1511842
2 34 13602
42 29 2855215
7 46 1069328
5 45 977899
43 13 277131
25 16 3966627
23 29 127443
34 32 670185
22 37 4630249
1 3 4474577
33 15 1541271
9 35 4602292
31 35 1597989
29 6 2399600
23 19 4690084
39 14 1184805
33 4 1482791
18 13 1789689
16 35 1937733
12 31 4307798
50 48 1904665
27 50 1854247
16 18 4858050
15 32 450398
1 1 4777187
40 33 4794417
40 38 996708
44 45 4469784
6 5 476975
20 47 4464593
46 28 2458036
29 10 3998493
40 33 272357
12 13 697280
17 35 3684987
40 43 43652
6 10 3817327
15 2 4006454
5 18 1782594
14 42 314792
31 43 2577909
43 28 1059950
49 14 1087634
17 9 547553
14 3 1849697
28 20 1434655
29 34 664243
17 39 2309384
24 9 4522075
18 49 2128579
48 31 4734704
42 3 1695223
23 31 1758541
32 3 4871954
24 3 2773265
47 33 2548550
36 43 4040608
23 4 1356807
41 15 2233183
34 31 2128462
23 27 4808892
6 35 275865
43 34 305443
44 11 2318312
50 35 3631178
43 46 3700418
48 35 3887014
26 41 4411246
40 41 3564468
32 1 2897594
34 8 3664177
25 8 4865272
5 4 1258978
45 24 4000828
39 15 1038029
47 46 3708575
26 47 3366718
33 48 3423999
39 16 121987
15 50 2726077
23 1 3631601
42 16 2734397
10 7 2755869
3 42 3071721
4 50 4151203
18 1 47215
29 37 1755746
4 31 4140798
45 50 3022461
19 42 1367501
45 20 3265756
13 10 4301845
23 26 1426793
26 44 978514
30 21 81940
29 4 3484805
1 1 3922512
46 15 2401717
45 14 4773331
18 45 2166633
19 47 2942490
4 23 937519
27 42 1114594
48 50 1078873
35 25 3754288
34 8 4921531
32 36 868554
37 23 3275310
36 42 3302716
47 5 4851216
14 27 2973525
19 9 2241986
5 19 1104551
21 5 2130025
46 25 3077642
21 8 3372077
50 8 4975513
26 17 1294268
37 1 1266675
49 4 4176264
7 49 3955835
39 39 902853
45 15 84313
48 35 4409260
3 43 3687735
29 33 383419
26 46 4787973
15 6 4444083
12 7 2416886
32 35 380633
43 2 640833
41 37 398645
46 29 2494880
25 47 2856470
42 34 1882900
25 5 282827
26 3 2927967
36 7 2831787
25 6 1773256
11 46 2239119
31 35 2120091
5 36 4726291
47 25 4707559
9 30 95768
25 22 4148670
18 21 2881221
33 6 2159544
9 31 1668033
22 45 551728
42 25 1708859
36 46 1479365
17 45 1896803
45 17 852507
34 30 3533102
35 18 1689176
42 39 384725
5 18 481831
25 26 4291734
31 16 1672440
40 22 2646834
6 14 4186430
31 7 1423533
9 28 3703919
18 30 411218
2 46 4744264
20 30 2735341
24 19 2133319
49 37 4394702
1 15 516335
30 34 3157324
13 47 211271
38 50 3114048
12 43 4318363
42 32 3419974
20 11 3600378
34 28 1842048
8 39 932214
45 30 2065746
24 10 1086759
27 36 1674855
31 26 1370856
24 8 4102762
49 33 3050201
5 41 2235982
9 36 4427931
39 17 4988103
14 26 1585431
12 41 4183887
45 26 2399543
17 22 1029410
23 20 2989036
21 29 1676226
48 24 1493222
15 39 3708339
33 6 3510431
34 33 3127104
38 5 397137
20 21 4955893
50 32 861179
18 46 1354082
35 4 2468576
36 42 4040350
41 16 4751431
7 27 2798786
36 33 3097532
21 42 4221162
44 5 4188110
40 37 3536056
2 49 378127
49 44 1966673
44 26 1845015
16 44 1865437
26 27 4354945
19 25 1309387
27 25 2646061
22 19 1129419
41 21 3016380
19 25 3150098
22 26 2194135
4 26 2734234
28 15 1923049
15 11 1178335
21 17 757728
32 30 432547
49 4 1339184
13 8 1016362
26 26 3141648
14 15 4300095
16 42 2787770
30 31 3647022
19 10 1163055
11 49 274119
6 19 632562
23 46 1164066
2 43 773064
3 26 3171861
6 16 605374
39 35 3198847
3 2 4279587
29 29 2744513
10 26 2733641
16 20 4612032
38 21 2273544
9 50 4753061
50 31 1147324
